GEOID,Asian,Black or African American,Hispanic or Latino,Other Racial / Ethnic Minority
06001400100,FALSE,FALSE,FALSE,TRUE
06001400200,FALSE,FALSE,FALSE,TRUE
06001400300,FALSE,TRUE,FALSE,TRUE
06001400400,FALSE,TRUE,FALSE,TRUE
06001400500,FALSE,TRUE,FALSE,TRUE
06001400600,FALSE,TRUE,FALSE,TRUE
06001400700,FALSE,TRUE,FALSE,TRUE
06001400800,FALSE,TRUE,FALSE,TRUE
06001400900,FALSE,TRUE,FALSE,TRUE
06001401000,FALSE,TRUE,FALSE,TRUE
06001401100,FALSE,TRUE,FALSE,TRUE
06001401200,FALSE,TRUE,FALSE,TRUE
06001401300,FALSE,TRUE,FALSE,TRUE
06001401400,FALSE,TRUE,TRUE,TRUE
06001401500,FALSE,TRUE,FALSE,TRUE
06001401600,FALSE,TRUE,FALSE,TRUE
06001401700,FALSE,TRUE,TRUE,TRUE
06001401800,FALSE,TRUE,FALSE,TRUE
06001402200,FALSE,TRUE,FALSE,TRUE
06001402400,FALSE,TRUE,FALSE,TRUE
06001402500,FALSE,TRUE,FALSE,TRUE
06001402600,TRUE,TRUE,FALSE,TRUE
06001402700,FALSE,TRUE,FALSE,TRUE
06001402800,FALSE,TRUE,FALSE,TRUE
06001402900,TRUE,TRUE,FALSE,TRUE
06001403000,TRUE,FALSE,FALSE,TRUE
06001403100,TRUE,TRUE,FALSE,TRUE
06001403300,TRUE,TRUE,FALSE,TRUE
06001403400,TRUE,TRUE,FALSE,TRUE
06001403501,FALSE,TRUE,FALSE,TRUE
06001403502,FALSE,TRUE,FALSE,TRUE
06001403600,FALSE,TRUE,FALSE,TRUE
06001403701,FALSE,TRUE,FALSE,TRUE
06001403702,FALSE,TRUE,FALSE,TRUE
06001403800,FALSE,TRUE,FALSE,TRUE
06001403900,FALSE,TRUE,FALSE,TRUE
06001404000,FALSE,TRUE,FALSE,TRUE
06001404101,FALSE,FALSE,FALSE,TRUE
06001404102,FALSE,TRUE,FALSE,TRUE
06001404200,FALSE,TRUE,FALSE,TRUE
06001404300,FALSE,FALSE,FALSE,TRUE
06001404400,FALSE,FALSE,FALSE,TRUE
06001404501,FALSE,FALSE,FALSE,TRUE
06001404502,FALSE,FALSE,FALSE,TRUE
06001404600,FALSE,FALSE,FALSE,TRUE
06001404700,FALSE,FALSE,FALSE,TRUE
06001404800,FALSE,TRUE,FALSE,TRUE
06001404900,FALSE,TRUE,FALSE,TRUE
06001405000,FALSE,TRUE,FALSE,TRUE
06001405100,FALSE,TRUE,FALSE,TRUE
06001405200,TRUE,TRUE,FALSE,TRUE
06001405301,FALSE,TRUE,FALSE,TRUE
06001405302,TRUE,TRUE,FALSE,TRUE
06001405401,TRUE,TRUE,TRUE,TRUE
06001405402,TRUE,TRUE,FALSE,TRUE
06001405500,TRUE,TRUE,FALSE,TRUE
06001405600,TRUE,TRUE,FALSE,TRUE
06001405700,TRUE,TRUE,TRUE,TRUE
06001405800,TRUE,TRUE,FALSE,TRUE
06001405901,TRUE,TRUE,TRUE,TRUE
06001405902,TRUE,TRUE,TRUE,TRUE
06001406000,TRUE,TRUE,FALSE,TRUE
06001406100,FALSE,TRUE,TRUE,TRUE
06001406201,FALSE,TRUE,TRUE,TRUE
06001406202,FALSE,TRUE,TRUE,TRUE
06001406300,TRUE,TRUE,TRUE,FALSE
06001406400,FALSE,TRUE,FALSE,TRUE
06001406500,FALSE,TRUE,TRUE,TRUE
06001406601,FALSE,TRUE,TRUE,TRUE
06001406602,TRUE,TRUE,TRUE,TRUE
06001406700,FALSE,TRUE,FALSE,TRUE
06001406800,FALSE,TRUE,FALSE,TRUE
06001406900,FALSE,TRUE,FALSE,TRUE
06001407000,TRUE,TRUE,TRUE,TRUE
06001407101,FALSE,TRUE,TRUE,TRUE
06001407102,FALSE,TRUE,TRUE,TRUE
06001407200,FALSE,TRUE,TRUE,TRUE
06001407300,FALSE,TRUE,TRUE,TRUE
06001407400,FALSE,TRUE,TRUE,FALSE
06001407500,FALSE,TRUE,TRUE,TRUE
06001407600,FALSE,TRUE,TRUE,TRUE
06001407700,FALSE,TRUE,FALSE,TRUE
06001407800,FALSE,TRUE,FALSE,TRUE
06001407900,FALSE,TRUE,FALSE,TRUE
06001408000,FALSE,TRUE,FALSE,TRUE
06001408100,FALSE,TRUE,FALSE,TRUE
06001408200,FALSE,TRUE,FALSE,TRUE
06001408300,FALSE,TRUE,FALSE,TRUE
06001408400,FALSE,TRUE,TRUE,TRUE
06001408500,FALSE,TRUE,TRUE,TRUE
06001408600,FALSE,TRUE,TRUE,TRUE
06001408700,FALSE,TRUE,TRUE,FALSE
06001408800,FALSE,TRUE,TRUE,TRUE
06001408900,FALSE,TRUE,TRUE,TRUE
06001409000,FALSE,TRUE,TRUE,TRUE
06001409100,FALSE,TRUE,TRUE,TRUE
06001409200,FALSE,TRUE,TRUE,TRUE
06001409300,FALSE,TRUE,TRUE,FALSE
06001409400,FALSE,TRUE,TRUE,FALSE
06001409500,FALSE,TRUE,TRUE,TRUE
06001409600,FALSE,TRUE,TRUE,TRUE
06001409700,FALSE,TRUE,TRUE,FALSE
06001409800,FALSE,TRUE,FALSE,TRUE
06001409900,FALSE,TRUE,FALSE,TRUE
06001410000,FALSE,TRUE,FALSE,TRUE
06001410100,FALSE,TRUE,FALSE,TRUE
06001410200,FALSE,TRUE,TRUE,TRUE
06001410300,FALSE,TRUE,TRUE,TRUE
06001410400,FALSE,TRUE,TRUE,FALSE
06001410500,FALSE,TRUE,FALSE,TRUE
06001420100,FALSE,FALSE,FALSE,TRUE
06001420200,FALSE,TRUE,FALSE,TRUE
06001420300,TRUE,FALSE,FALSE,TRUE
06001420400,TRUE,FALSE,TRUE,TRUE
06001420500,FALSE,TRUE,FALSE,TRUE
06001420600,FALSE,FALSE,FALSE,TRUE
06001421100,FALSE,FALSE,FALSE,TRUE
06001421200,FALSE,FALSE,FALSE,TRUE
06001421300,FALSE,FALSE,FALSE,TRUE
06001421400,FALSE,FALSE,FALSE,TRUE
06001421500,FALSE,FALSE,FALSE,TRUE
06001421600,FALSE,FALSE,FALSE,TRUE
06001421700,FALSE,FALSE,FALSE,TRUE
06001421800,FALSE,FALSE,FALSE,TRUE
06001421900,FALSE,FALSE,FALSE,TRUE
06001422000,FALSE,TRUE,FALSE,FALSE
06001422100,FALSE,TRUE,FALSE,TRUE
06001422200,FALSE,TRUE,FALSE,TRUE
06001422300,FALSE,FALSE,FALSE,TRUE
06001422400,TRUE,FALSE,FALSE,TRUE
06001422500,TRUE,FALSE,FALSE,TRUE
06001422600,TRUE,FALSE,FALSE,TRUE
06001422700,FALSE,FALSE,FALSE,TRUE
06001422800,TRUE,FALSE,FALSE,TRUE
06001422900,TRUE,TRUE,FALSE,TRUE
06001423000,FALSE,FALSE,FALSE,TRUE
06001423100,FALSE,TRUE,FALSE,TRUE
06001423200,FALSE,TRUE,TRUE,TRUE
06001423300,FALSE,TRUE,FALSE,TRUE
06001423400,FALSE,TRUE,FALSE,TRUE
06001423500,FALSE,TRUE,FALSE,TRUE
06001423601,FALSE,FALSE,FALSE,TRUE
06001423602,TRUE,TRUE,FALSE,TRUE
06001423700,FALSE,FALSE,FALSE,TRUE
06001423901,FALSE,TRUE,FALSE,TRUE
06001423902,FALSE,FALSE,FALSE,TRUE
06001424001,FALSE,TRUE,FALSE,TRUE
06001424002,FALSE,TRUE,FALSE,TRUE
06001425101,TRUE,TRUE,FALSE,TRUE
06001425102,TRUE,TRUE,FALSE,TRUE
06001425103,FALSE,TRUE,FALSE,TRUE
06001425104,FALSE,TRUE,FALSE,TRUE
06001426100,FALSE,FALSE,FALSE,TRUE
06001426200,FALSE,FALSE,FALSE,TRUE
06001427100,FALSE,FALSE,FALSE,TRUE
06001427200,FALSE,FALSE,FALSE,TRUE
06001427300,TRUE,TRUE,FALSE,TRUE
06001427600,TRUE,TRUE,FALSE,TRUE
06001427700,FALSE,TRUE,FALSE,TRUE
06001427800,FALSE,FALSE,FALSE,TRUE
06001427900,TRUE,TRUE,FALSE,TRUE
06001428000,TRUE,TRUE,FALSE,TRUE
06001428100,FALSE,FALSE,FALSE,TRUE
06001428200,FALSE,TRUE,FALSE,TRUE
06001428301,TRUE,FALSE,FALSE,TRUE
06001428302,TRUE,FALSE,FALSE,TRUE
06001428400,TRUE,TRUE,FALSE,TRUE
06001428500,TRUE,FALSE,FALSE,TRUE
06001428600,TRUE,TRUE,FALSE,TRUE
06001428700,TRUE,TRUE,FALSE,TRUE
06001430101,TRUE,FALSE,FALSE,TRUE
06001430102,FALSE,FALSE,FALSE,TRUE
06001430200,FALSE,FALSE,FALSE,TRUE
06001430300,FALSE,TRUE,FALSE,FALSE
06001430400,FALSE,FALSE,FALSE,TRUE
06001430500,FALSE,TRUE,TRUE,TRUE
06001430600,TRUE,TRUE,FALSE,TRUE
06001430700,FALSE,FALSE,FALSE,TRUE
06001430800,FALSE,FALSE,TRUE,TRUE
06001430900,FALSE,TRUE,TRUE,TRUE
06001431000,FALSE,FALSE,TRUE,TRUE
06001431100,FALSE,TRUE,TRUE,TRUE
06001431200,FALSE,TRUE,FALSE,TRUE
06001432100,FALSE,TRUE,FALSE,TRUE
06001432200,FALSE,TRUE,TRUE,TRUE
06001432300,FALSE,TRUE,TRUE,TRUE
06001432400,TRUE,TRUE,TRUE,TRUE
06001432501,TRUE,FALSE,TRUE,TRUE
06001432502,TRUE,TRUE,TRUE,TRUE
06001432600,FALSE,TRUE,TRUE,TRUE
06001432700,FALSE,TRUE,TRUE,TRUE
06001432800,TRUE,TRUE,FALSE,TRUE
06001433000,TRUE,FALSE,TRUE,TRUE
06001433102,TRUE,FALSE,TRUE,TRUE
06001433103,FALSE,TRUE,TRUE,TRUE
06001433104,FALSE,TRUE,TRUE,TRUE
06001433200,TRUE,TRUE,FALSE,TRUE
06001433300,TRUE,TRUE,TRUE,TRUE
06001433400,TRUE,TRUE,FALSE,TRUE
06001433500,TRUE,FALSE,TRUE,TRUE
06001433600,TRUE,TRUE,FALSE,TRUE
06001433700,FALSE,TRUE,TRUE,TRUE
06001433800,TRUE,TRUE,TRUE,FALSE
06001433900,FALSE,TRUE,TRUE,TRUE
06001434000,FALSE,TRUE,TRUE,TRUE
06001435102,FALSE,TRUE,FALSE,TRUE
06001435103,TRUE,TRUE,FALSE,TRUE
06001435104,TRUE,TRUE,TRUE,TRUE
06001435200,FALSE,TRUE,FALSE,TRUE
06001435300,FALSE,TRUE,TRUE,TRUE
06001435400,FALSE,TRUE,TRUE,TRUE
06001435500,FALSE,TRUE,TRUE,TRUE
06001435601,FALSE,TRUE,TRUE,TRUE
06001435602,FALSE,TRUE,TRUE,TRUE
06001435700,FALSE,TRUE,TRUE,FALSE
06001435800,TRUE,FALSE,TRUE,TRUE
06001435900,TRUE,TRUE,TRUE,TRUE
06001436000,FALSE,FALSE,TRUE,TRUE
06001436100,TRUE,TRUE,TRUE,TRUE
06001436200,FALSE,TRUE,TRUE,TRUE
06001436300,TRUE,TRUE,TRUE,TRUE
06001436401,FALSE,TRUE,TRUE,TRUE
06001436402,FALSE,TRUE,TRUE,TRUE
06001436500,FALSE,TRUE,TRUE,TRUE
06001436601,FALSE,TRUE,TRUE,TRUE
06001436602,FALSE,TRUE,TRUE,TRUE
06001436700,TRUE,TRUE,TRUE,TRUE
06001436800,FALSE,TRUE,TRUE,TRUE
06001436900,FALSE,FALSE,TRUE,TRUE
06001437000,FALSE,TRUE,TRUE,TRUE
06001437101,TRUE,FALSE,FALSE,TRUE
06001437102,TRUE,TRUE,TRUE,TRUE
06001437200,TRUE,TRUE,TRUE,TRUE
06001437300,TRUE,TRUE,TRUE,TRUE
06001437400,FALSE,FALSE,TRUE,TRUE
06001437500,FALSE,FALSE,TRUE,TRUE
06001437600,TRUE,TRUE,TRUE,TRUE
06001437701,FALSE,TRUE,TRUE,TRUE
06001437702,FALSE,FALSE,TRUE,TRUE
06001437800,TRUE,TRUE,TRUE,TRUE
06001437900,FALSE,TRUE,TRUE,TRUE
06001438000,TRUE,FALSE,TRUE,FALSE
06001438100,TRUE,TRUE,TRUE,TRUE
06001438201,FALSE,TRUE,TRUE,TRUE
06001438203,TRUE,TRUE,FALSE,TRUE
06001438204,TRUE,TRUE,TRUE,TRUE
06001438300,TRUE,TRUE,TRUE,TRUE
06001438400,TRUE,TRUE,TRUE,TRUE
06001440100,TRUE,FALSE,FALSE,TRUE
06001440200,FALSE,FALSE,TRUE,FALSE
06001440301,TRUE,TRUE,TRUE,TRUE
06001440304,TRUE,FALSE,FALSE,TRUE
06001440305,TRUE,TRUE,FALSE,TRUE
06001440306,TRUE,TRUE,FALSE,TRUE
06001440307,TRUE,FALSE,FALSE,TRUE
06001440308,TRUE,FALSE,TRUE,TRUE
06001440331,TRUE,FALSE,FALSE,TRUE
06001440332,TRUE,FALSE,FALSE,TRUE
06001440333,TRUE,TRUE,FALSE,TRUE
06001440334,TRUE,FALSE,FALSE,TRUE
06001440335,TRUE,FALSE,FALSE,TRUE
06001440336,TRUE,TRUE,FALSE,TRUE
06001441100,TRUE,FALSE,FALSE,TRUE
06001441200,TRUE,FALSE,FALSE,TRUE
06001441301,TRUE,FALSE,FALSE,FALSE
06001441302,TRUE,FALSE,FALSE,TRUE
06001441401,TRUE,FALSE,FALSE,TRUE
06001441402,TRUE,FALSE,FALSE,TRUE
06001441501,TRUE,FALSE,FALSE,TRUE
06001441503,TRUE,FALSE,FALSE,TRUE
06001441521,TRUE,FALSE,FALSE,TRUE
06001441522,TRUE,FALSE,FALSE,TRUE
06001441523,TRUE,FALSE,FALSE,TRUE
06001441524,TRUE,FALSE,FALSE,TRUE
06001441601,TRUE,FALSE,FALSE,TRUE
06001441602,TRUE,FALSE,FALSE,TRUE
06001441700,TRUE,FALSE,FALSE,TRUE
06001441800,TRUE,FALSE,FALSE,TRUE
06001441921,TRUE,TRUE,TRUE,TRUE
06001441923,TRUE,FALSE,FALSE,TRUE
06001441924,TRUE,FALSE,FALSE,TRUE
06001441925,TRUE,FALSE,FALSE,TRUE
06001441926,TRUE,FALSE,TRUE,TRUE
06001441927,TRUE,FALSE,FALSE,TRUE
06001442000,TRUE,FALSE,FALSE,TRUE
06001442100,TRUE,FALSE,FALSE,TRUE
06001442200,TRUE,FALSE,FALSE,TRUE
06001442301,TRUE,TRUE,FALSE,TRUE
06001442302,TRUE,TRUE,FALSE,TRUE
06001442400,TRUE,FALSE,TRUE,TRUE
06001442500,TRUE,FALSE,FALSE,TRUE
06001442601,TRUE,FALSE,FALSE,FALSE
06001442602,TRUE,TRUE,FALSE,TRUE
06001442700,TRUE,FALSE,FALSE,FALSE
06001442800,TRUE,FALSE,FALSE,TRUE
06001442900,TRUE,FALSE,FALSE,TRUE
06001443001,TRUE,FALSE,TRUE,TRUE
06001443002,TRUE,FALSE,FALSE,FALSE
06001443102,TRUE,FALSE,FALSE,TRUE
06001443103,TRUE,FALSE,FALSE,TRUE
06001443104,TRUE,FALSE,FALSE,TRUE
06001443105,TRUE,FALSE,FALSE,TRUE
06001443200,TRUE,FALSE,FALSE,TRUE
06001443301,TRUE,FALSE,FALSE,TRUE
06001443321,TRUE,FALSE,FALSE,TRUE
06001443322,TRUE,FALSE,FALSE,TRUE
06001444100,TRUE,FALSE,TRUE,FALSE
06001444200,TRUE,FALSE,TRUE,TRUE
06001444301,TRUE,FALSE,TRUE,TRUE
06001444302,FALSE,FALSE,TRUE,TRUE
06001444400,FALSE,FALSE,TRUE,TRUE
06001444500,TRUE,TRUE,TRUE,TRUE
06001444601,TRUE,FALSE,TRUE,TRUE
06001444602,TRUE,TRUE,FALSE,TRUE
06001450101,TRUE,TRUE,FALSE,TRUE
06001450102,TRUE,TRUE,FALSE,TRUE
06001450200,TRUE,FALSE,FALSE,TRUE
06001450300,FALSE,FALSE,FALSE,TRUE
06001450400,TRUE,FALSE,FALSE,TRUE
06001450501,FALSE,FALSE,FALSE,TRUE
06001450502,FALSE,FALSE,FALSE,TRUE
06001450601,TRUE,FALSE,FALSE,FALSE
06001450602,TRUE,FALSE,FALSE,TRUE
06001450603,TRUE,FALSE,FALSE,FALSE
06001450605,FALSE,FALSE,FALSE,TRUE
06001450606,FALSE,FALSE,FALSE,TRUE
06001450607,FALSE,FALSE,FALSE,TRUE
06001450701,TRUE,FALSE,FALSE,TRUE
06001450743,TRUE,FALSE,FALSE,TRUE
06001450744,TRUE,FALSE,FALSE,TRUE
06001450745,TRUE,FALSE,FALSE,TRUE
06001450746,FALSE,FALSE,FALSE,TRUE
06001450750,TRUE,TRUE,FALSE,TRUE
06001450751,TRUE,FALSE,FALSE,TRUE
06001450752,TRUE,FALSE,FALSE,TRUE
06001451101,FALSE,FALSE,FALSE,TRUE
06001451102,FALSE,FALSE,FALSE,TRUE
06001451201,FALSE,FALSE,FALSE,TRUE
06001451300,FALSE,FALSE,FALSE,TRUE
06001451401,FALSE,FALSE,FALSE,TRUE
06001451403,FALSE,FALSE,TRUE,TRUE
06001451404,FALSE,FALSE,TRUE,TRUE
06001451503,FALSE,FALSE,FALSE,TRUE
06001451504,FALSE,FALSE,FALSE,TRUE
06001451506,FALSE,FALSE,TRUE,TRUE
06001451601,FALSE,FALSE,FALSE,TRUE
06001451602,FALSE,FALSE,FALSE,TRUE
06001451701,FALSE,FALSE,FALSE,TRUE
06001451703,FALSE,FALSE,FALSE,TRUE
06001451704,FALSE,FALSE,FALSE,TRUE
06001982000,FALSE,FALSE,TRUE,FALSE
06001983200,TRUE,TRUE,FALSE,TRUE
06013301000,FALSE,TRUE,FALSE,TRUE
06013302005,FALSE,FALSE,TRUE,TRUE
06013302006,FALSE,FALSE,TRUE,TRUE
06013302007,FALSE,TRUE,TRUE,TRUE
06013302008,FALSE,TRUE,TRUE,TRUE
06013302009,FALSE,TRUE,TRUE,TRUE
06013302010,FALSE,FALSE,TRUE,TRUE
06013303102,FALSE,TRUE,TRUE,TRUE
06013303103,FALSE,TRUE,TRUE,TRUE
06013303201,FALSE,TRUE,FALSE,TRUE
06013303202,FALSE,TRUE,FALSE,TRUE
06013303203,FALSE,TRUE,FALSE,TRUE
06013303204,FALSE,TRUE,TRUE,TRUE
06013303205,FALSE,FALSE,FALSE,TRUE
06013304001,FALSE,TRUE,FALSE,TRUE
06013304002,FALSE,FALSE,TRUE,TRUE
06013304004,FALSE,FALSE,FALSE,TRUE
06013304005,FALSE,TRUE,FALSE,TRUE
06013305000,FALSE,TRUE,TRUE,TRUE
06013306002,FALSE,TRUE,TRUE,TRUE
06013306003,FALSE,TRUE,TRUE,TRUE
06013306004,FALSE,TRUE,TRUE,TRUE
06013307101,FALSE,TRUE,TRUE,TRUE
06013307102,FALSE,TRUE,TRUE,TRUE
06013307201,FALSE,FALSE,TRUE,TRUE
06013307202,FALSE,TRUE,TRUE,TRUE
06013307204,FALSE,TRUE,TRUE,TRUE
06013307205,FALSE,TRUE,TRUE,TRUE
06013308001,FALSE,FALSE,TRUE,TRUE
06013308002,FALSE,TRUE,FALSE,TRUE
06013309000,FALSE,TRUE,TRUE,TRUE
06013310000,FALSE,TRUE,TRUE,TRUE
06013311000,FALSE,TRUE,TRUE,TRUE
06013312000,FALSE,TRUE,TRUE,TRUE
06013313101,FALSE,TRUE,TRUE,TRUE
06013313102,FALSE,TRUE,TRUE,TRUE
06013313103,TRUE,TRUE,TRUE,TRUE
06013313203,FALSE,FALSE,TRUE,TRUE
06013313204,FALSE,TRUE,TRUE,TRUE
06013313205,TRUE,TRUE,TRUE,TRUE
06013313206,FALSE,TRUE,TRUE,TRUE
06013314102,FALSE,FALSE,TRUE,TRUE
06013314103,FALSE,TRUE,TRUE,TRUE
06013314104,FALSE,TRUE,TRUE,TRUE
06013314200,FALSE,FALSE,TRUE,TRUE
06013315000,FALSE,FALSE,FALSE,TRUE
06013317000,FALSE,FALSE,FALSE,TRUE
06013319000,FALSE,FALSE,FALSE,TRUE
06013320001,FALSE,FALSE,TRUE,TRUE
06013320004,FALSE,FALSE,FALSE,TRUE
06013321101,FALSE,FALSE,FALSE,TRUE
06013321102,FALSE,FALSE,FALSE,TRUE
06013321103,FALSE,FALSE,FALSE,TRUE
06013321200,TRUE,FALSE,FALSE,TRUE
06013322000,FALSE,FALSE,FALSE,TRUE
06013323000,FALSE,FALSE,FALSE,TRUE
06013324001,FALSE,FALSE,FALSE,TRUE
06013324002,FALSE,FALSE,FALSE,TRUE
06013325000,FALSE,FALSE,FALSE,TRUE
06013326000,FALSE,FALSE,FALSE,TRUE
06013327000,FALSE,FALSE,TRUE,TRUE
06013328000,FALSE,FALSE,FALSE,TRUE
06013329000,FALSE,FALSE,TRUE,TRUE
06013330000,FALSE,FALSE,TRUE,TRUE
06013331000,FALSE,TRUE,TRUE,TRUE
06013332000,FALSE,FALSE,TRUE,TRUE
06013333101,FALSE,FALSE,FALSE,TRUE
06013333102,FALSE,FALSE,FALSE,TRUE
06013333200,FALSE,FALSE,FALSE,TRUE
06013334001,FALSE,FALSE,FALSE,TRUE
06013334004,FALSE,TRUE,FALSE,TRUE
06013334006,FALSE,FALSE,FALSE,TRUE
06013334200,FALSE,FALSE,FALSE,TRUE
06013335000,FALSE,FALSE,TRUE,TRUE
06013336101,FALSE,TRUE,TRUE,TRUE
06013336102,FALSE,TRUE,TRUE,FALSE
06013336201,FALSE,FALSE,TRUE,TRUE
06013336202,FALSE,FALSE,TRUE,TRUE
06013337200,FALSE,FALSE,TRUE,TRUE
06013338101,FALSE,TRUE,TRUE,FALSE
06013338102,FALSE,FALSE,FALSE,TRUE
06013338201,FALSE,FALSE,FALSE,TRUE
06013338203,FALSE,FALSE,FALSE,TRUE
06013338204,FALSE,FALSE,FALSE,TRUE
06013338301,FALSE,FALSE,FALSE,TRUE
06013338302,FALSE,FALSE,FALSE,TRUE
06013339002,FALSE,FALSE,FALSE,TRUE
06013340001,FALSE,FALSE,FALSE,TRUE
06013340002,FALSE,FALSE,FALSE,TRUE
06013341000,FALSE,FALSE,FALSE,TRUE
06013343002,FALSE,FALSE,FALSE,TRUE
06013343003,FALSE,FALSE,FALSE,TRUE
06013345101,FALSE,FALSE,FALSE,TRUE
06013345102,FALSE,FALSE,FALSE,TRUE
06013345103,FALSE,FALSE,FALSE,TRUE
06013345105,FALSE,FALSE,FALSE,TRUE
06013345108,TRUE,FALSE,FALSE,TRUE
06013345111,TRUE,FALSE,FALSE,TRUE
06013345112,TRUE,FALSE,FALSE,FALSE
06013345113,FALSE,FALSE,FALSE,TRUE
06013345115,TRUE,FALSE,FALSE,TRUE
06013345116,FALSE,FALSE,FALSE,TRUE
06013345202,FALSE,FALSE,FALSE,TRUE
06013345203,FALSE,FALSE,FALSE,TRUE
06013347000,FALSE,FALSE,FALSE,TRUE
06013348000,FALSE,FALSE,FALSE,TRUE
06013350000,FALSE,FALSE,FALSE,TRUE
06013351101,FALSE,FALSE,FALSE,TRUE
06013351102,FALSE,FALSE,FALSE,TRUE
06013351103,FALSE,FALSE,FALSE,TRUE
06013351200,FALSE,FALSE,FALSE,TRUE
06013352101,FALSE,FALSE,FALSE,TRUE
06013352202,FALSE,FALSE,FALSE,TRUE
06013353001,FALSE,FALSE,FALSE,TRUE
06013354001,FALSE,FALSE,FALSE,TRUE
06013354002,FALSE,FALSE,FALSE,TRUE
06013355107,FALSE,TRUE,TRUE,TRUE
06013355108,FALSE,TRUE,FALSE,TRUE
06013355109,FALSE,TRUE,FALSE,TRUE
06013355110,FALSE,TRUE,TRUE,TRUE
06013355111,FALSE,TRUE,TRUE,TRUE
06013355112,FALSE,FALSE,FALSE,TRUE
06013355113,TRUE,FALSE,FALSE,FALSE
06013355114,TRUE,FALSE,FALSE,TRUE
06013355115,TRUE,TRUE,FALSE,TRUE
06013355116,TRUE,FALSE,FALSE,TRUE
06013355117,TRUE,FALSE,FALSE,TRUE
06013355200,TRUE,TRUE,FALSE,TRUE
06013355301,FALSE,FALSE,FALSE,TRUE
06013355302,FALSE,FALSE,FALSE,TRUE
06013355304,FALSE,FALSE,FALSE,TRUE
06013355306,FALSE,FALSE,FALSE,TRUE
06013356001,TRUE,TRUE,TRUE,TRUE
06013356002,TRUE,TRUE,FALSE,TRUE
06013357000,FALSE,FALSE,FALSE,TRUE
06013358000,FALSE,TRUE,TRUE,TRUE
06013359102,TRUE,TRUE,TRUE,TRUE
06013359103,FALSE,TRUE,FALSE,TRUE
06013359104,TRUE,TRUE,FALSE,TRUE
06013359105,TRUE,TRUE,FALSE,TRUE
06013359202,FALSE,FALSE,FALSE,TRUE
06013359203,TRUE,TRUE,FALSE,FALSE
06013359204,TRUE,TRUE,FALSE,TRUE
06013360101,FALSE,TRUE,TRUE,TRUE
06013360102,TRUE,TRUE,TRUE,TRUE
06013360200,FALSE,TRUE,TRUE,TRUE
06013361000,FALSE,TRUE,TRUE,TRUE
06013362000,FALSE,FALSE,FALSE,TRUE
